GLON,GLAT,RECNO,ASSOC_3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX
126.5048,+52.7515,     885,J1231.5+6414 ,  0,Y,MS 1229.2+6430            ,187.88081,+64.23841, 0.004, 0.059,bll    ,HSP,16.220,16.286, 0.16300, 0.999, 0.827, 0.905,-0.681,    58.91,N,  43.900,14.687,15.890, 0.30, 1.25
190.8102,+85.3389,     886,J1231.7+2847 ,  0,Y,B2 1229+29                ,187.93155,+28.79716, 0.014, 0.023,bll    ,ISP,14.900,14.992, 0.23645, 0.999, 0.922, 0.933,-0.316,   141.65,N,  29.700,17.009,16.790, 0.46, 1.18
281.8432,+76.4011,     887,J1231.8+1421 ,  0,Y,GB6 J1231+1421            ,187.84961,+14.35678, 0.113, 0.117,bll    ,HSP,14.930,15.029, 0.25600, 0.987, 0.000, 0.000,-0.625,    55.64,N,        ,17.281,16.630, 0.37, 1.30
293.8065,+60.8170,     888,J1233.7-0145 ,  0,Y,NVSS J123341-014426       ,188.42223,-01.73992, 0.021, 0.043,bll    ,ISP,14.450,14.450,        , 0.999, 0.802, 0.000,      ,    28.93,N,        ,18.106,17.860, 0.48, 1.46
136.8096,+77.7188,     889,J1236.6+3901 ,  0,Y,RX J1236.4+3859           ,189.09534,+39.00089, 0.059, 0.107,bll    ,ISP,14.640,14.783, 0.39000, 0.985, 0.000, 0.000, 0.492,    37.12,N,   4.960,18.151,17.590, 0.41, 1.37
125.5991,+54.0781,     890,J1237.9+6258 ,  0,Y,1H 1241+626               ,189.41435,+62.97877, 0.037, 0.062,bll    ,HSP,15.040,15.153, 0.29700, 0.994, 0.000, 0.882,-0.561,    12.60,N,  40.300,18.053,17.350, 0.26, 1.04
298.7592,+42.7790,     891,J1238.2-1958 ,  0,Y,PMN J1238-1959            ,189.60162,-19.98713, 0.035, 0.060,bcu II ,ISP,14.075,14.075,        , 0.997, 0.833, 0.000, 0.032,    95.13,N,   9.400,17.299,      , 0.49, 1.38
300.4955,+17.1171,     892,J1238.3-4543 ,  0,Y,PMN J1238-4541            ,189.52516,-45.69157, 0.058, 0.068,bcu II ,ISP,14.200,14.200,        , 0.983, 0.000, 0.000,-0.247,   107.30,S,        ,17.197,      , 0.37,
294.1127,+70.1703,     893,J1239.4+0727 ,  0,Y,PKS 1236+077              ,189.85245,+07.50477, 0.047, 0.076,bcu I  ,LSP,12.865,13.011, 0.40000, 0.998, 0.913, 0.000, 0.197,   567.69,N,   7.750,18.550,17.240, 0.59, 1.39
295.1983,+67.4111,     894,J1239.5+0443 ,  0,Y,MG1 J123931+0443          ,189.88648,+04.71812, 0.009, 0.024,fsrq   ,LSP,12.305,12.746, 1.76200, 1.000, 0.951, 0.849, 1.408,   354.46,N,   4.220,      ,20.220, 0.84, 0.89
