GLON,GLAT,RECNO,ASSOC_3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,FRad,n_FRad,FX,LR-XG
124.6890,+05.2871,      11,J0110.2+6806,  0,4C +67.04            ,017.55364,+68.09478, 0.022, 0.023,bll    ,ISP,14.864,14.864,        , 1.000, 0.972,1715.00,N, 23.20, 0.895
127.6722,-01.1634,      12,J0131.2+6120,  0,1RXS J013106.4+612035,022.78011,+61.34260, 0.013, 0.022,bll    ,HSP,16.300,16.300,        , 0.999, 0.850,  19.70,N,471.00, 0.979
128.5493,-06.6835,      13,J0131.3+5548,  0,TXS 0128+554         ,022.80760,+55.75361, 0.056, 0.082,bcu I  ,-  ,      ,      , 0.03649, 0.986, 0.828, 175.00,N, 21.90, 0.806
126.7396,+06.8682,      14,J0135.0+6927,  0,TXS 0130+691         ,023.66984,+69.41969, 0.055, 0.095,bcu III,-  ,      ,      ,        , 0.984, 0.830, 202.00,N,      ,      
129.0241,-04.0853,      15,J0137.8+5813,  0,1RXS J013748.0+581422,024.46032,+58.23648, 0.005, 0.032,bcu II ,HSP,16.580,16.580,        , 0.999, 0.921, 171.00,N,252.00, 0.969
131.7581,-09.8592,      16,J0148.3+5200,  0,GB6 J0148+5202       ,027.08473,+52.03470, 0.025, 0.039,bcu III,-  ,      ,      ,        , 0.996,      ,  44.50,N,      ,      
127.9201,+08.9829,      17,J0153.4+7114,  0,TXS 0149+710         ,028.35771,+71.25180, 0.010, 0.037,bcu I  ,HSP,15.690,15.699, 0.02200, 1.000, 0.953, 578.00,N, 48.30, 0.930
134.5220,-06.9861,      18,J0211.7+5402,  0,TXS 0207+538         ,032.73495,+54.08692, 0.120, 0.128,bcu III,-  ,      ,      ,        ,      , 0.827, 448.00,N,      ,      
135.7444,-09.0508,      19,J0214.4+5143,  0,TXS 0210+515         ,033.57473,+51.74776, 0.034, 0.044,bll    ,HSP,15.020,15.041, 0.04900, 0.999, 0.905, 295.00,N,177.00, 0.944
132.7340,+00.9612,      20,J0217.3+6209,  0,TXS 0213+619         ,034.26049,+62.19274, 0.056, 0.102,bcu III,-  ,      ,      ,        ,      , 0.800, 155.00,N,      ,      
131.2457,+06.9854,      21,J0223.3+6820,  0,NVSS J022304+682154  ,035.76891,+68.36528, 0.031, 0.037,bcu II ,HSP,15.800,15.800,        , 0.991,      ,  20.00,N,      ,      
133.1193,+02.0853,      22,J0223.5+6313,  0,TXS 0219+628         ,035.87363,+63.12177, 0.104, 0.152,bcu III,-  ,      ,      ,        , 0.945,      , 124.00,N,      ,      
132.2607,+06.0295,      23,J0228.5+6703,  0,GB6 J0229+6706       ,037.34410,+67.11042, 0.099, 0.166,bcu III,-  ,      ,      ,        , 0.953,      ,  27.00,N,      ,      
133.9162,+05.2202,      24,J0241.3+6542,  0,TXS 0237+655         ,040.34061,+65.71988, 0.018, 0.043,bcu II ,HSP,15.500,15.500,        ,      , 0.903, 191.00,N, 41.60, 0.910
138.8917,-02.6345,      25,J0250.6+5630,  0,NVSS J025047+562935  ,042.69830,+56.49317, 0.030, 0.052,bcu II ,HSP,16.138,16.138,        ,      ,      ,  35.80,N, 34.30, 0.890
141.7707,-07.2858,      26,J0253.8+5104,  0,NVSS J025357+510256  ,043.49003,+51.04902, 0.022, 0.075,fsrq   ,LSP,12.500,12.936, 1.73200, 1.000, 0.912, 429.00,N,      ,      
141.7413,-04.4915,      27,J0302.0+5335,  0,GB6 J0302+5331       ,045.59473,+53.52958, 0.081, 0.076,bcu II ,HSP,15.988,15.988,        , 0.965,      , 187.00,N,      ,      
144.9855,-09.8629,      28,J0303.6+4716,  0,4C +47.08            ,045.89684,+47.27119, 0.017, 0.031,bll    ,ISP,14.000,14.000,        , 1.000, 0.965, 963.00,N,      ,      
134.7256,+08.5877,      29,J0304.9+6817,  0,TXS 0259+681         ,046.09168,+68.36041, 0.082, 0.076,bcu II ,LSP,12.725,12.725,        , 0.911, 0.920,1208.00,N,      ,      
139.9448,+05.6953,      30,J0332.0+6308,  0,GB6 J0331+6307       ,052.97465,+63.13727, 0.016, 0.051,bcu II ,ISP,14.150,14.150,        , 0.998, 0.816,  42.80,N,      ,      
138.6772,+07.8417,      31,J0333.9+6538,  0,TXS 0329+654         ,053.48641,+65.61561, 0.022, 0.034,bll    ,HSP,15.200,15.200,        , 0.998, 0.924, 288.00,N, 16.60, 0.885
145.8417,+02.3511,      32,J0352.9+5655,  0,GB6 J0353+5654       ,058.28989,+56.90859, 0.032, 0.046,bcu II ,HSP,16.315,16.315,        , 0.996, 0.820,  58.30,N,      ,      
152.4931,-05.3735,      33,J0354.1+4643,  0,B3 0350+465          ,058.62505,+46.72188, 0.065, 0.118,bcu III,-  ,      ,      ,        , 0.977, 0.904, 759.00,N,      ,      
144.3798,+05.2803,      34,J0358.8+6002,  0,TXS 0354+599         ,059.76100,+60.08946, 0.055, 0.121,fsrq   ,LSP,12.905,13.068, 0.45500, 0.993, 0.919, 953.00,N, 38.80, 0.830
161.6755,-08.8198,      35,J0418.5+3813,  0,3C 111               ,064.58866,+38.02661, 0.198, 0.168,rdg    ,-  ,      ,      , 0.04850, 0.961, 0.949,7731.00,N,142.00, 0.807
159.7055,-05.3819,      36,J0423.8+4150,  0,4C +41.11            ,065.98337,+41.83409, 0.012, 0.021,bll    ,LSP,13.180,13.180,        , 1.000, 0.980,1756.00,N,      ,      
144.4037,+09.7807,      37,J0425.2+6319,  0,1RXS J042523.0+632016,066.35324,+63.33486, 0.019, 0.040,bcu II ,HSP,16.050,16.050,        ,      , 0.804,  25.20,N, 44.30, 0.920
167.9664,-07.3559,      38,J0444.5+3425,  0,B2 0441+34           ,071.15083,+34.42877, 0.014, 0.074,bcu II ,LSP,13.005,13.005,        , 0.997, 0.880, 238.00,N,      ,      
173.0802,-06.8169,      39,J0501.8+3046,  0,1RXS J050140.8+304831,075.42145,+30.80727, 0.051, 0.059,bcu II ,HSP,16.100,16.100,        ,      ,      ,  35.20,N, 62.70, 0.886
170.1491,-04.3717,      40,J0502.7+3438,  0,MG2 J050234+3436     ,075.62478,+34.60960, 0.064, 0.078,bcu III,-  ,      ,      ,        , 0.983, 0.820, 176.00,N,      ,      
161.8150,+02.3080,      41,J0503.4+4522,  0,1RXS J050339.8+451715,075.91491,+45.28320, 0.098, 0.086,bcu II ,HSP,15.645,15.645,        ,      ,      ,  34.90,N, 75.20, 0.844
175.6016,-05.7069,      42,J0512.2+2918,  0,B2 0509+29           ,078.17586,+29.45100, 0.170, 0.527,bcu III,-  ,      ,      ,        , 0.891,      , 204.00,N, 19.50,      
166.5015,+00.9161,      43,J0512.9+4038,  0,B3 0509+406          ,078.21893,+40.69545, 0.054, 0.073,bcu II ,LSP,13.635,13.635,        , 0.999, 0.933, 877.00,N,      ,      
162.9800,+04.4609,      44,J0517.4+4540,  0,4C +45.08            ,079.37041,+45.61802, 0.050, 0.154,fsrq   ,LSP,12.900,13.165, 0.83900, 0.990, 0.907,1336.00,N,      ,      
177.8810,-05.4648,      45,J0519.3+2746,  0,4C +27.15            ,079.88761,+27.73454, 0.051, 0.110,bcu III,-  ,      ,      ,        , 0.992, 0.944,1702.00,N,      ,      
183.6042,-08.7083,      46,J0521.7+2113,  1,TXS 0518+211         ,080.44152,+21.21429, 0.008, 0.014,bll    ,ISP,14.335,14.380, 0.10800, 1.000, 0.969, 530.00,N, 60.20, 0.961
166.0076,+04.0963,      47,J0526.0+4253,  0,NVSS J052520+425520  ,081.33690,+42.92225, 0.140, 0.150,bcu II ,LSP,13.145,13.145,        , 0.942,      ,  41.60,N,      ,      
186.9650,-08.9846,      48,J0528.3+1815,  0,1RXS J052829.6+181657,082.12341,+18.28188, 0.048, 0.060,bcu III,-  ,      ,      ,        ,      ,      ,  21.50,N,163.00, 0.929
162.1607,+08.2301,      49,J0533.2+4822,  0,TXS 0529+483         ,083.31611,+48.38134, 0.007, 0.031,fsrq   ,LSP,13.040,13.375, 1.16200, 1.000, 0.950, 435.00,N, 10.80, 0.876
191.5973,-08.6603,      50,J0539.8+1434,  0,TXS 0536+145         ,084.92652,+14.56266, 0.031, 0.071,fsrq   ,LSP,12.445,13.012, 2.69000, 0.999, 0.911, 433.00,N,      ,      
